,I1,C2,data_updated,industry_bin,C3_prime
0,AATI,1.0,0,Manufacturing,1
1,ABPI,0.0,0,Manufacturing,0
2,ACAD,1.0,0,Manufacturing,0
3,ACHN,1.0,0,Manufacturing,0
4,ACLI,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
5,ACOM,1.0,0,Services,1
6,ACOR,1.0,0,Manufacturing,0
7,ACRX,0.0,1,Manufacturing,0
8,ACTV,1.0,0,Services,0
9,ACW,1.0,0,Manufacturing,1
11,ADLS,1.0,0,Manufacturing,0
12,ADZA,1.0,0,Manufacturing,1
13,AFFY,1.0,0,Manufacturing,0
14,AGAM,1.0,0,Manufacturing,1
15,AH,1.0,0,Services,1
16,AHII,1.0,0,Wholesale Trade,1
17,AIMC,1.0,0,Manufacturing,1
18,AIRV,1.0,0,Manufacturing,1
19,ALGT,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
20,ALIM,1.0,1,Manufacturing,0
21,ALJ,1.0,0,Manufacturing,1
22,ALLI,1.0,0,Services,0
23,ALNY,1.0,0,Manufacturing,0
24,ALTU,1.0,0,Manufacturing,0
25,ALXA,1.0,0,Manufacturing,0
26,AMBA,1.0,0,Manufacturing,1
27,AMIS,1.0,0,Manufacturing,0
28,AMRC,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
29,ANAC,1.0,0,Manufacturing,0
30,ANFI,1.0,0,Manufacturing,1
31,ANGI,1.0,0,Services,0
32,ANGO,0.0,0,Manufacturing,1
33,AONE,1.0,0,Manufacturing,0
34,AOSL,1.0,0,Manufacturing,0
35,APEI,1.0,0,Services,1
36,APKT,1.0,0,Manufacturing,0
37,ARAY,1.0,0,Manufacturing,0
38,ARBX,1.0,0,Services,1
39,ARCL,1.0,0,Services,1
40,ARCO,1.0,0,Retail Trade,1
41,AREX,1.0,0,Mining,1
42,ARII,1.0,0,Manufacturing,1
43,ARP,1.0,1,Services,0
44,ARST,1.0,0,Services,0
45,ARTE,1.0,1,Manufacturing,0
46,ARUN,1.0,0,Manufacturing,0
47,ASPV,1.0,1,Manufacturing,0
48,ATEC,1.0,0,Manufacturing,0
49,ATHN,1.0,0,Services,0
50,ATRC,1.0,0,Manufacturing,0
51,AUXL,1.0,0,Manufacturing,0
52,AVAV,1.0,0,Manufacturing,1
53,AVEO,1.0,0,Manufacturing,0
54,AVGO,1.0,0,Manufacturing,1
55,AVNC,1.0,1,Manufacturing,0
56,AVR,1.0,0,Manufacturing,1
57,AVRX,0.0,0,Manufacturing,0
58,AWAY,1.0,0,Services,1
59,AWK,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
60,AYR,1.0,0,Services,0
61,BAGL,1.0,0,Retail Trade,0
62,BAH,1.0,0,Services,0
63,BALT,1.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
64,BARE,1.0,0,Manufacturing,1
65,BAS,1.0,0,Mining,1
66,BBBB,1.0,0,Services,0
67,BBG,1.0,0,Mining,0
68,BBND,1.0,0,Manufacturing,1
69,BBRG,1.0,0,Retail Trade,1
70,BBW,1.0,0,Retail Trade,1
71,BCOV,1.0,0,Services,0
72,BDAY,0.0,0,Retail Trade,0
73,BDE,0.0,0,Mining,1
74,BEAT,1.0,0,Services,1
75,BECN,1.0,0,Wholesale Trade,1
76,BFAM,1.0,0,Services,1
77,BFRM,1.0,0,Manufacturing,0
78,BHRT,0.0,1,Services,0
79,BIOD,1.0,1,Manufacturing,0
80,BIOF,1.0,1,Manufacturing,0
81,BKC,1.0,0,Retail Trade,1
82,BKRS,0.0,0,Retail Trade,1
83,BLMN,1.0,0,Retail Trade,1
84,BLOG,1.0,0,Services,0
85,BLSW,0.0,0,Services,0
87,BMTI,1.0,0,Manufacturing,0
88,BNNY,1.0,0,Manufacturing,1
89,BODY,1.0,0,Retail Trade,1
90,BOX,1.0,0,Services,0
91,BPI,1.0,0,Services,1
92,BRNC,0.0,0,Mining,0
93,BSFT,1.0,0,Services,1
94,BTRX,1.0,0,Manufacturing,0
95,BUN,0.0,0,Retail Trade,1
96,BV,1.0,0,Services,0
97,BWLD,0.0,0,Retail Trade,1
98,BWTR,0.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
99,BWY,1.0,0,Manufacturing,1
100,CAB,1.0,0,Retail Trade,1
101,CABG,0.0,1,Manufacturing,0
102,CADX,1.0,1,Manufacturing,0
103,CALD,1.0,0,Services,0
104,CALL,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
105,CALX,1.0,0,Manufacturing,0
106,CAP,1.0,1,Services,1
107,CARB,1.0,0,Services,0
108,CATM,1.0,0,Services,0
109,CBEY,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
110,CBOU,1.0,0,Retail Trade,0
111,CCO,1.0,0,Services,0
112,CDL,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
