,I1,C2,data_updated,C3_prime,industry_bin__Manufacturing,industry_bin__Other,industry_bin__Services
0,AATI,1.0,0,1,1,0,0
1,ABPI,0.0,0,0,1,0,0
2,ACAD,1.0,0,0,1,0,0
3,ACHN,1.0,0,0,1,0,0
4,ACLI,1.0,0,1,0,1,0
5,ACOM,1.0,0,1,0,0,1
6,ACOR,1.0,0,0,1,0,0
7,ACRX,0.0,1,0,1,0,0
8,ACTV,1.0,0,0,0,0,1
9,ACW,1.0,0,1,1,0,0
11,ADLS,1.0,0,0,1,0,0
12,ADZA,1.0,0,1,1,0,0
13,AFFY,1.0,0,0,1,0,0
14,AGAM,1.0,0,1,1,0,0
15,AH,1.0,0,1,0,0,1
16,AHII,1.0,0,1,0,1,0
17,AIMC,1.0,0,1,1,0,0
18,AIRV,1.0,0,1,1,0,0
19,ALGT,1.0,0,1,0,1,0
20,ALIM,1.0,1,0,1,0,0
21,ALJ,1.0,0,1,1,0,0
22,ALLI,1.0,0,0,0,0,1
23,ALNY,1.0,0,0,1,0,0
24,ALTU,1.0,0,0,1,0,0
25,ALXA,1.0,0,0,1,0,0
26,AMBA,1.0,0,1,1,0,0
27,AMIS,1.0,0,0,1,0,0
28,AMRC,1.0,0,1,0,1,0
29,ANAC,1.0,0,0,1,0,0
30,ANFI,1.0,0,1,1,0,0
31,ANGI,1.0,0,0,0,0,1
32,ANGO,0.0,0,1,1,0,0
33,AONE,1.0,0,0,1,0,0
34,AOSL,1.0,0,0,1,0,0
35,APEI,1.0,0,1,0,0,1
36,APKT,1.0,0,0,1,0,0
37,ARAY,1.0,0,0,1,0,0
38,ARBX,1.0,0,1,0,0,1
39,ARCL,1.0,0,1,0,0,1
40,ARCO,1.0,0,1,0,1,0
41,AREX,1.0,0,1,0,1,0
42,ARII,1.0,0,1,1,0,0
43,ARP,1.0,1,0,0,0,1
44,ARST,1.0,0,0,0,0,1
45,ARTE,1.0,1,0,1,0,0
46,ARUN,1.0,0,0,1,0,0
47,ASPV,1.0,1,0,1,0,0
48,ATEC,1.0,0,0,1,0,0
49,ATHN,1.0,0,0,0,0,1
50,ATRC,1.0,0,0,1,0,0
51,AUXL,1.0,0,0,1,0,0
52,AVAV,1.0,0,1,1,0,0
53,AVEO,1.0,0,0,1,0,0
54,AVGO,1.0,0,1,1,0,0
55,AVNC,1.0,1,0,1,0,0
56,AVR,1.0,0,1,1,0,0
57,AVRX,0.0,0,0,1,0,0
58,AWAY,1.0,0,1,0,0,1
59,AWK,1.0,0,0,0,1,0
60,AYR,1.0,0,0,0,0,1
61,BAGL,1.0,0,0,0,1,0
62,BAH,1.0,0,0,0,0,1
63,BALT,1.0,1,0,0,1,0
64,BARE,1.0,0,1,1,0,0
65,BAS,1.0,0,1,0,1,0
66,BBBB,1.0,0,0,0,0,1
67,BBG,1.0,0,0,0,1,0
68,BBND,1.0,0,1,1,0,0
69,BBRG,1.0,0,1,0,1,0
70,BBW,1.0,0,1,0,1,0
71,BCOV,1.0,0,0,0,0,1
72,BDAY,0.0,0,0,0,1,0
73,BDE,0.0,0,1,0,1,0
74,BEAT,1.0,0,1,0,0,1
75,BECN,1.0,0,1,0,1,0
76,BFAM,1.0,0,1,0,0,1
77,BFRM,1.0,0,0,1,0,0
78,BHRT,0.0,1,0,0,0,1
79,BIOD,1.0,1,0,1,0,0
80,BIOF,1.0,1,0,1,0,0
81,BKC,1.0,0,1,0,1,0
82,BKRS,0.0,0,1,0,1,0
83,BLMN,1.0,0,1,0,1,0
84,BLOG,1.0,0,0,0,0,1
85,BLSW,0.0,0,0,0,0,1
87,BMTI,1.0,0,0,1,0,0
88,BNNY,1.0,0,1,1,0,0
89,BODY,1.0,0,1,0,1,0
90,BOX,1.0,0,0,0,0,1
91,BPI,1.0,0,1,0,0,1
92,BRNC,0.0,0,0,0,1,0
93,BSFT,1.0,0,1,0,0,1
94,BTRX,1.0,0,0,1,0,0
95,BUN,0.0,0,1,0,1,0
96,BV,1.0,0,0,0,0,1
97,BWLD,0.0,0,1,0,1,0
98,BWTR,0.0,0,1,0,1,0
99,BWY,1.0,0,1,1,0,0
100,CAB,1.0,0,1,0,1,0
101,CABG,0.0,1,0,1,0,0
102,CADX,1.0,1,0,1,0,0
103,CALD,1.0,0,0,0,0,1
104,CALL,1.0,0,1,0,1,0
105,CALX,1.0,0,0,1,0,0
106,CAP,1.0,1,1,0,0,1
107,CARB,1.0,0,0,0,0,1
108,CATM,1.0,0,0,0,0,1
109,CBEY,1.0,0,0,0,1,0
110,CBOU,1.0,0,0,0,1,0
111,CCO,1.0,0,0,0,0,1
112,CDL,1.0,0,0,0,1,0
113,CDM,0.0,1,0,0,0,1
114,CE,1.0,0,0,1,0,0
116,CEMP,0.0,1,0,1,0,0
117,CENF,1.0,0,1,0,1,0
118,CERE,1.0,0,0,0,1,0
119,CF,1.0,0,1,1,0,0
120,CFX,1.0,0,1,1,0,0
121,CGTK,1.0,0,0,1,0,0
122,CHEF,1.0,0,1,0,1,0
124,CLAY,1.0,0,1,0,0,1
125,CLD,1.0,1,1,0,1,0
126,CLU,1.0,0,1,1,0,0
127,CLUB,1.0,0,1,0,0,1
128,CLWR,1.0,0,0,0,1,0
129,CML,1.0,0,0,0,0,1
130,CMP,1.0,0,1,0,1,0
131,CNSL,1.0,0,0,0,1,0
132,CNVO,0.0,0,0,0,0,1
133,CNVX,1.0,1,0,1,0,0
134,COGT,1.0,0,1,0,0,1
135,COLY,1.0,0,0,1,0,0
136,COMV,1.0,0,0,1,0,0
137,CONN,0.0,0,1,0,1,0
138,CONR,1.0,1,0,1,0,0
139,CORT,1.0,1,0,1,0,0
140,CPII,1.0,0,1,1,0,0
141,CPIX,1.0,0,1,1,0,0
142,CPX,1.0,0,1,0,1,0
143,CRDC,0.0,0,0,1,0,0
144,CREL,1.0,0,0,0,0,1
145,CRI,1.0,0,1,1,0,0
146,CRMH,1.0,0,1,0,1,0
