,I1,C1,C3_imputed,C4,C7_imputed,words_per_sentence,real_word_per,non_real_word_per,short_sentences,short_sentences_per,long_sentences_per,long_words_per,pos_words_percent,neg_words_percent,uncertain_words_percent,total_shares,sales_per_share,outstanding_share_per,offering_share_per,C5_prime,C6_prime
0,AATI,122.0,3.43,0.029074273483673547,51.345,27.061702127659576,0.9088764840003145,0.0911235159996855,169.0,0.3595744680851064,0.6404255319148936,0.054249547920433995,0.1949685534591195,0.36792452830188677,0.4371069182389937,51562052.0,9.957904700922298e-07,0.7944224562668685,0.2055775437331315,3.8643445283018867,11.11111111111111
1,ABPI,259.0,-1.62,-0.013351642245815755,25.936,27.54993678887484,0.898724302496329,0.10127569750367107,281.0,0.3552465233881163,0.6447534766118836,0.0513950073421439,0.1290909090909091,0.44,0.4309090909090909,31269196.0,8.294424966986679e-07,0.9232471471284391,0.07675285287156088,12.028831666666667,-11.11111111111111
2,ACAD,90.0,-1.24,0.02071500183158597,7.378,26.17910447761194,0.9093500570125428,0.09064994298745724,73.0,0.36318407960199006,0.6368159203980099,0.06176358798935766,0.3961038961038961,0.21428571428571427,0.38961038961038963,21845668.0,3.377328631012794e-07,0.7711216704382764,0.22887832956172363,3.3691336,-46.15384615384615
3,ACHN,209.0,-0.91,0.020023137256796594,8.526,25.179878048780488,0.9170601767768495,0.08293982322315051,151.0,0.4603658536585366,0.5396341463414634,0.06162973725632643,0.321285140562249,0.23694779116465864,0.44176706827309237,19348637.0,4.40651194190061e-07,0.7674254780840635,0.2325745219159365,3.299697111111111,-23.333333333333332
4,ACLI,80.0,0.07,-0.034894701316965815,632.298,25.926573426573427,0.8884693189480782,0.11153068105192178,236.0,0.4125874125874126,0.5874125874125874,0.048550236008091704,0.17493472584856398,0.38903394255874674,0.4360313315926893,38991716.0,1.6216213720883688e-05,0.7884165959764377,0.21158340402356235,3.7262686060606063,5.0
5,ACOM,94.0,0.06,-0.057556076660705446,197.591,35.292156862745095,0.7741541196733152,0.22584588032668482,182.0,0.3568627450980392,0.6431372549019608,0.04528029334963053,0.18289085545722714,0.2831858407079646,0.5339233038348082,49810323.0,3.966868474231737e-06,0.8512877139945468,0.14871228600545314,5.724393974841669,0.0
6,ACOR,128.0,-1.87,0.004105524336536758,5.146,31.834343434343435,0.8854550069805813,0.11454499301941871,116.0,0.23434343434343435,0.7656565656565657,0.04429496128950374,0.25386996904024767,0.3281733746130031,0.4179566563467492,24547022.0,2.0963846449479697e-07,0.7759402342165986,0.22405976578340134,3.463094909090909,-50.0
7,ACRX,91.0,-0.74,0.040619988496656566,107.462,33.61077844311377,0.8957776590058792,0.1042223409941208,58.0,0.17365269461077845,0.8263473053892215,-8.907892392659897e-05,0.18518518518518517,0.40404040404040403,0.4107744107744108,27371750.0,3.926018614082037e-06,0.7077278581018751,0.2922721418981249,2.42146875,-61.53846153846154
8,ACTV,100.0,-0.51,-0.02931592628539684,279.6,23.891935483870967,0.9088638358198879,0.09113616418011207,285.0,0.4596774193548387,0.5403225806451613,0.06190508337271316,0.13942307692307693,0.2980769230769231,0.5625,63982501.0,4.3699448385113924e-06,0.8280779927624273,0.17192200723757267,4.816591,-11.76470588235294
9,ACW,106.0,1.49,-0.02492507736968316,494.008,23.724675324675324,0.8875629516093716,0.11243704839062842,187.0,0.4857142857142857,0.5142857142857142,0.050251806437486314,0.25471698113207547,0.2830188679245283,0.46226415094339623,44622690.0,1.1070780358602316e-05,0.7534886399721756,0.24651136002782442,3.0566081818181816,-50.0
11,ADLS,99.0,-398.1,0.015487112031121256,0.32,22.877470355731226,0.8984105044920525,0.10158949550794748,115.0,0.45454545454545453,0.5454545454545454,0.06651693158258466,0.20714285714285716,0.29285714285714287,0.5,24826801.0,1.2889296530793477e-08,0.7180466383888927,0.2819533616111073,2.5466858571428572,-41.17647058823529
12,ADZA,126.0,0.27,0.019731083271667373,26.499,27.825242718446603,0.8658408932309839,0.13415910676901605,65.0,0.3155339805825243,0.6844660194174758,0.04518492672714585,0.14583333333333334,0.2986111111111111,0.5555555555555556,19639841.0,1.3492471756772368e-06,0.8090615906717371,0.1909384093282629,4.237290933333333,6.666666666666667
13,AFFY,140.0,-2.19,-0.0063156046994000984,0.074,25.389423076923077,0.9311683393296724,0.06883166067032759,185.0,0.44471153846153844,0.5552884615384616,0.06873698163226662,0.2403560830860534,0.35014836795252224,0.4094955489614243,18010258.0,4.1087695689867406e-09,0.794561521550663,0.20543847844933705,3.867637297297297,8.695652173913043
14,AGAM,488.0,0.18,0.023274685510332935,166.896,29.860576923076923,0.8839693017764182,0.11603069822358182,244.0,0.391025641025641,0.6089743589743589,0.048784414748027694,0.18631178707224336,0.4866920152091255,0.3269961977186312,63775520.0,2.616928878039724e-06,0.7844000331161549,0.21559996688384508,3.6382196363636363,-6.451612903225806
15,AH,233.0,0.17,-0.08545458841445729,510.192,30.959044368600683,0.8699151140998788,0.13008488590012127,173.0,0.295221843003413,0.7047781569965871,0.03577334362253335,0.28405797101449276,0.26666666666666666,0.4492753623188406,100015707.0,5.101118767275224e-06,0.9000157045332889,0.09998429546671105,9.0015707,-20.0
16,AHII,125.0,0.31,0.0002548563257563511,571.192,24.0,0.8808859975216853,0.11911400247831475,129.0,0.4795539033457249,0.5204460966542751,0.05204460966542751,0.23684210526315788,0.21710526315789475,0.5460526315789473,36133033.0,1.5808028072262852e-05,0.6734290199220199,0.3265709800779802,2.062121440677966,0.0
17,AIMC,77.0,0.14,-0.0063156046994000984,363.465,28.956521739130434,0.8469351704645822,0.15306482953541778,144.0,0.36828644501278773,0.6317135549872123,0.05325914149443561,0.21238938053097345,0.3952802359882006,0.39233038348082594,33087591.0,1.0984933898632874e-05,0.6977718927920742,0.30222810720792576,2.3087591,-10.0
18,AIRV,92.0,1.18,0.036830796877746964,170.27,25.598484848484848,0.9197247706422018,0.08027522935779817,205.0,0.38825757575757575,0.6117424242424242,0.03869488014205386,0.21951219512195122,0.3048780487804878,0.47560975609756095,71669555.0,2.3757647162731792e-06,0.8841907138951819,0.11580928610481815,7.634886144578314,-22.22222222222222
19,ALGT,207.0,0.63,-0.01269239188194706,132.5,22.8203125,0.8720472440944882,0.1279527559055118,245.0,0.478515625,0.521484375,0.03671687778158165,0.23529411764705882,0.35294117647058826,0.4117647058823529,24045933.0,5.5102873321654855e-06,0.7920646289748874,0.20793537102511264,3.8091866,12.5
20,ALIM,174.0,-1.43,0.045262646375410436,107.462,29.177589852008456,0.9057314687341497,0.0942685312658503,177.0,0.37420718816067655,0.6257928118393234,0.05564814143902616,0.171875,0.3541666666666667,0.4739583333333333,37601055.0,2.857951725024737e-06,0.8258027600555357,0.17419723994446432,4.740619083969466,-31.25
21,ALJ,78.0,0.67,0.05404000937680397,1707.564,24.22165820642978,0.867481662591687,0.13251833740831295,238.0,0.4027072758037225,0.5972927241962775,0.04715333566189312,0.26146788990825687,0.3348623853211009,0.4036697247706422,55401120.0,3.082183176080195e-05,0.8158881986501356,0.1841118013498644,4.431482352941177,6.666666666666667
22,ALLI,68.0,-0.86,0.002545640136170962,64.606,23.544802867383513,0.8964834830263358,0.10351651697366418,130.0,0.4659498207885305,0.5340501792114696,0.04688689298218907,0.1324200913242009,0.4246575342465753,0.4429223744292237,15894956.0,4.06455985156549e-06,0.748347840660899,0.251652159339101,2.973739,0.0
23,ALNY,91.0,-29.64,0.03582773310561604,0.176,26.342741935483872,0.9148936170212766,0.0851063829787234,98.0,0.3951612903225806,0.6048387096774194,0.058778509107607534,0.29441624365482233,0.19796954314720813,0.5076142131979695,24283332.0,7.247769787111587e-09,0.7940974492297844,0.20590255077021555,3.8566664,-14.285714285714285
24,ALTU,101.0,-1.39,-0.0017460164572123166,3.88,32.70342205323194,0.890942913614696,0.10905708638530404,79.0,0.30038022813688214,0.6996197718631179,0.05499360539472154,0.30434782608695654,0.2463768115942029,0.4492753623188406,28001943.0,1.3856181337130783e-07,0.7500173470105271,0.24998265298947292,3.000277571428571,0.0
25,ALXA,76.0,-19.2,-0.003957877372461608,2.23,30.231660231660232,0.8982120051085568,0.10178799489144316,103.0,0.39768339768339767,0.6023166023166023,0.057854406130268196,0.15,0.3541666666666667,0.49583333333333335,28146381.0,7.922865820653816e-08,0.8045929954547265,0.19540700454527352,4.117523818181819,-27.27272727272727
26,AMBA,488.0,0.38,-0.037115500330326075,94.739,27.122244488977955,0.9295108615339146,0.07048913846608541,162.0,0.3246492985971944,0.6753507014028056,0.057410964977094726,0.21875,0.21153846153846154,0.5697115384615384,31909462.0,2.9689939617283428e-06,0.8119679987083455,0.18803200129165448,4.318243666666667,-40.0
27,AMIS,40.0,-0.41,0.025763708515827013,345.322,28.47438330170778,0.0,1.0,193.0,0.36622390891840606,0.6337760910815939,0.05391176862588298,0.116751269035533,0.4593908629441624,0.42385786802030456,101864857.0,3.3900013230274303e-06,0.7054921502515829,0.29450784974841715,2.3954952333333335,5.263157894736842
28,AMRC,113.0,0.5,0.035642375510738435,428.516,28.83619344773791,0.892447522181346,0.10755247781865397,205.0,0.31981279251170047,0.6801872074882995,0.04858255788790305,0.2642706131078224,0.346723044397463,0.3890063424947146,49100096.0,8.727396378206675e-06,0.8228757027277502,0.17712429727224974,4.645752815396892,-33.33333333333333
